상태,공고번호,축,품종,털색,성,중성화 여부,특징,접수일시
종료(입양),경기-고양-2020-00420,개,아메리칸불리,회색,암컷,아니오,후지 흰 털,2020-05-03
종료(자연사),경기-고양-2020-00419,고양이,한국 고양이,"흰색, 검정",미상,아니오,아기 고양이,2020-05-03
종료(반환),경기-동두천-2020-00071,개,믹스견,갈/흰,수컷,아니오,양귀 반접힘. 코검정. 부정교합. 전신미용흔적. 얌전함. 사람따름.,2020-05-03
종료(안락사),경기-의정부-2020-00157,개,믹스견,흰/갈/검,암컷,미상,양귀조금접힘. 코검정. 경계/공격적. 사나움.,2020-05-03
종료(반환),경기-의정부-2020-00156,개,비글,갈/검/흰,암컷,미상,코검정. 살찜. 소심. 사람따름,2020-05-03
종료(안락사),경기-의정부-2020-00155,개,믹스견,흰,수컷,아니오,양귀쫑긋. 코검정. 콧등탈모. 활발함. 사람따름.,2020-05-03
종료(자연사),울산-울주-2020-00351,개,믹스견,검정.갈색,수컷,아니오,경계심심함,2020-05-03
종료(자연사),울산-동구-2020-00094,개,프렌치 불독,흰색,암컷,아니오,순함,2020-05-03
종료(자연사),대전-대덕-2020-00143,고양이,한국 고양이,검백색,미상,아니오,40일령 추정,2020-05-03
종료(입양),대전-대덕-2020-00142,고양이,한국 고양이,삼색,암컷,아니오,30일령 추정,2020-05-03
종료(입양),대전-대덕-2020-00141,고양이,한국 고양이,삼색,암컷,아니오,30일령 추정,2020-05-03
종료(입양),대전-대덕-2020-00140,고양이,한국 고양이,백황색,미상,아니오,3일령 추정,2020-05-03
종료(입양),대전-대덕-2020-00139,고양이,한국 고양이,백황색,미상,아니오,30일령 추정,2020-05-03
종료(입양),대전-대덕-2020-00138,고양이,한국 고양이,백황,미상,아니오,30일령 추정,2020-05-03
종료(반환),광주-광산-2020-00277,개,믹스견,갈,암컷,미상,"20-0597 누라/공격형, 경계, 입질, 검정목줄, 임신의심",2020-05-03
종료(반환),광주-광산-2020-00276,개,진도견,흰,수컷,아니오,"20-0596 서방 / 나이미상, 공격형, 경계, 입질, 목줄착용",2020-05-03
종료(안락사),광주-광산-2020-00275,개,믹스견,갈,암컷,미상,"20-0595 월넛/ 경계,입질, 교통사고-다리부상, 항문부상, 골반골절",2020-05-03
종료(반환),인천-서구-2020-00282,개,말티즈,흰색,수컷,아니오,"칩있음,옹심이,순함,착함",2020-05-03
종료(자연사),인천-부평-2020-00244,고양이,한국 고양이,카오스,암컷,아니오,"어미잃은자묘,저혈당증,전신감염상태,예후극히불량",2020-05-03
종료(반환),인천-남동-2020-00192,개,푸들,갈,수컷,미상,견주반환,2020-05-03
종료(입양),인천-남동-2020-00191,개,푸들,연갈,수컷,예,전신미용/겁이많고 소심함,2020-05-03
종료(입양),인천-남동-2020-00190,고양이,한국 고양이,검/흰,수컷,미상,1월추정,2020-05-03
종료(반환),인천-남동-2020-00189,개,웰시 코기 펨브로크,갈/흰,암컷,미상,칩내장,2020-05-03
종료(자연사),인천-미추홀-2020-00204,개,요크셔 테리어,검/갈,수컷,미상,백내장/눈꼽/미용,2020-05-03
종료(입양),인천-동구-2020-00049,개,말티즈,흰색,수컷,예,미용흔적있음,2020-05-03
종료(입양),인천-동구-2020-00048,고양이,한국 고양이,흰+검+회,암컷,아니오,"호흡기질환,얌전하고 순함",2020-05-03
종료(입양),대구-달성-2020-00245,개,믹스견,검갈색,수컷,아니오,순함.,2020-05-03
종료(입양),대구-달서-2020-00132,개,시츄,흰+갈색,수컷,아니오,"미용, 오드아이. 회색 옷 착용",2020-05-03
종료(방사),부산-사하-2020-00178,기타축종,,흰색,미상,미상,흰색->에코센터로 인계,2020-05-03
종료(입양),경북-경주-2020-00402,고양이,한국 고양이,브라운테비,암컷,미상,온순,2020-05-03
종료(반환),경북-경주-2020-00401,개,라사 압소,브라운화이트,암컷,미상,두 눈 백내장으로 인한 실명,2020-05-03
종료(자연사),경북-경주-2020-00400,고양이,한국 고양이,브라운테비,수컷,미상,다리절단,2020-05-03
종료(자연사),경북-포항-2020-00398,고양이,한국 고양이,백 회색,암컷,아니오,"겨드랑이와 옆구리 물린 상처, 배에 농이 차있음, 숨만 겨우 쉼, 상태심각",2020-05-03
종료(반환),경북-포항-2020-00396,개,믹스견,황백,암컷,미상,"목에 갈색끈 착용, 경계심함, 입질있음, 큰 눈, 겁이 많음 (하늘색 줄은 보호소 들어올때 임시로 착용)",2020-05-03
종료(입양),경북-포항-2020-00397,개,믹스견,아이보리 황,수컷,아니오,"10개월, 활발함, 북극곰 닮음, 사람 아주 좋아함, 성격 아주아주 좋음, 목테착용",2020-05-03
종료(자연사),경북-포항-2020-00392,개,믹스견,백 흑,암컷,아니오,"2개월, 온순함, 짝짝이 양말신은 패턴이 귀여움",2020-05-03
종료(자연사),경북-포항-2020-00395,개,믹스견,황 흑,암컷,아니오,"2개월, 예쁘장한 미모, 온순함, 세마리 같이 들어옴",2020-05-03
종료(자연사),경북-포항-2020-00394,개,믹스견,흑 황,암컷,아니오,"2개월, 실물 심각하게 귀여움, 소심함, 세마리 같이 들어옴",2020-05-03
종료(안락사),경북-포항-2020-00393,개,말티즈,백,수컷,예,"10세 이상, 이빨 없음, 혀가 나와있음, 경계함, 털이 심하게 엉킴, 분홍색 옷 착용하고 있었음",2020-05-03
종료(입양),경북-경주-2020-00402,고양이,한국 고양이,브라운테비,암컷,미상,온순,2020-05-03
종료(반환),경북-경주-2020-00401,개,라사 압소,브라운화이트,암컷,미상,두 눈 백내장으로 인한 실명,2020-05-03
종료(자연사),경북-경주-2020-00400,고양이,한국 고양이,브라운테비,수컷,미상,다리절단,2020-05-03
종료(자연사),경북-포항-2020-00398,고양이,한국 고양이,백 회색,암컷,아니오,"겨드랑이와 옆구리 물린 상처, 배에 농이 차있음, 숨만 겨우 쉼, 상태심각",2020-05-03
종료(반환),경북-포항-2020-00396,개,믹스견,황백,암컷,미상,"목에 갈색끈 착용, 경계심함, 입질있음, 큰 눈, 겁이 많음 (하늘색 줄은 보호소 들어올때 임시로 착용)",2020-05-03
종료(입양),경북-포항-2020-00397,개,믹스견,아이보리 황,수컷,아니오,"10개월, 활발함, 북극곰 닮음, 사람 아주 좋아함, 성격 아주아주 좋음, 목테착용",2020-05-03
종료(자연사),경북-포항-2020-00392,개,믹스견,백 흑,암컷,아니오,"2개월, 온순함, 짝짝이 양말신은 패턴이 귀여움",2020-05-03
종료(자연사),경북-포항-2020-00395,개,믹스견,황 흑,암컷,아니오,"2개월, 예쁘장한 미모, 온순함, 세마리 같이 들어옴",2020-05-03
종료(자연사),경북-포항-2020-00394,개,믹스견,흑 황,암컷,아니오,"2개월, 실물 심각하게 귀여움, 소심함, 세마리 같이 들어옴",2020-05-03
종료(안락사),경북-포항-2020-00393,개,말티즈,백,수컷,예,"10세 이상, 이빨 없음, 혀가 나와있음, 경계함, 털이 심하게 엉킴, 분홍색 옷 착용하고 있었음",2020-05-03
종료(입양),경북-포항-2020-00391,개,믹스견,아이보리,수컷,아니오,"2개월, 활발하며 보송보송함, 임보입양 감",2020-05-03
종료(입양),전북-정읍-2020-00228,개,시바,검,수컷,아니오,온순,2020-05-03
종료(반환),전북-정읍-2020-00227,개,시바,검,암컷,아니오,온순,2020-05-03
종료(자연사),전북-정읍-2020-00226,고양이,믹스,검 황 흰,미상,아니오,상태안좋음,2020-05-03
종료(자연사),전북-정읍-2020-00225,고양이,믹스,검 황 흰,미상,아니오,상태안좋음,2020-05-03
종료(입양),전북-군산-2020-00630,개,믹스견,흰색,암컷,아니오,농수로에 빠진아이 구조,2020-05-03
종료(입양),전북-군산-2020-00629,개,믹스견,흰색,암컷,아니오,케이지에 넝어버려진아이2,2020-05-03
종료(입양),전북-군산-2020-00628,개,믹스견,화이트,수컷,아니오,케이지에 넣어버려짐1,2020-05-03
종료(자연사),전북-군산-2020-00627,개,믹스견,화이트/갈색/검정,암컷,아니오,한쪽눈손상 및 심한 탈수로 보임,2020-05-03
종료(입양),전북-군산-2020-00626,개,믹스견,화이트/검정,수컷,아니오,배고픔에 고라니 사채를 먹고 있던 아이4,2020-05-03
종료(입양),전북-군산-2020-00625,개,믹스견,화이트/갈색,수컷,아니오,배고픔에 고라니 사채를 먹고 있던 아이3,2020-05-03
보호중,전북-군산-2020-00624,개,믹스견,베이지/검정,암컷,아니오,배고픔에 고라니 사채를 먹고 있던 아이2,2020-05-03
종료(입양),전북-군산-2020-00623,개,믹스견,화이트/갈색,암컷,아니오,배고픔에 고라니 사채를 먹고 있던 아이1,2020-05-03
종료(입양),충남-아산-2020-00391,개,믹스견,갈검색,암컷,아니오,725호(관리) 391호(공고) 2개월추정 착함(새끼5두 포획),2020-05-03
종료(입양),충남-아산-2020-00390,개,믹스견,갈검색,수컷,아니오,724호(관리) 390호(공고) 2개월추정 착함(새끼5두 포획),2020-05-03
종료(자연사),충남-아산-2020-00389,개,믹스견,"흰,갈,검정색",수컷,아니오,723호(관리) 389호(공고) 2개월추정 착함(새끼5두 포획),2020-05-03
종료(안락사),충남-아산-2020-00388,개,믹스견,"흰,갈,검정색",수컷,아니오,722호(관리) 388호(공고) 2개월추정 착함(새끼5두 포획),2020-05-03
종료(입양),충남-아산-2020-00387,개,믹스견,갈&검정색,수컷,아니오,721호(관리) 387호(공고) 2개월추정 착함(새끼5두포획),2020-05-03
종료(입양),충북-청주-2020-00633,개,웰시 코기 펨브로크,흰갈색,암컷,미상,밝은 웃음과 밝은성격의 웰시코기!,2020-05-03
종료(반환),충북-청주-2020-00632,개,푸들,검정색,수컷,아니오,깨끗하고 집나온지 얼마 안된것 같은 순딩이 푸들,2020-05-03
종료(입양),충북-청주-2020-00631,개,믹스견,흰색,수컷,아니오,진도견엄마와 함께 눈도 못뜨고 와선 어엿하게 자랐습니다 새가족이 되어주세요~!,2020-05-03
종료(입양),충북-청주-2020-00630,개,믹스견,흰색,암컷,아니오,진도견엄마와 함께 눈도 못뜨고 와선 어엿하게 자랐습니다 새가족이 되어주세요~!,2020-05-03
종료(입양),충북-청주-2020-00629,개,믹스견,흰색,암컷,아니오,진도견엄마와 함께 눈도 못뜨고 와선 어엿하게 자랐습니다 새가족이 되어주세요~!,2020-05-03
종료(입양),충북-청주-2020-00628,개,믹스견,흰색,수컷,아니오,진도견엄마와 함께 눈도 못뜨고 와선 어엿하게 자랐습니다 새가족이 되어주세요~!,2020-05-03
종료(입양),충북-청주-2020-00627,개,믹스견,흰색,수컷,아니오,진도견엄마와 함께 눈도 못뜨고 와선 어엿하게 자랐습니다 새가족이 되어주세요~!,2020-05-03
종료(입양),충북-청주-2020-00626,개,비글,흰색 검은색 갈색,수컷,아니오,어두운갈색의 가죽으로된 목줄하고있으며 머리 만지면 살짝 경계해요,2020-05-03
종료(자연사),충북-옥천-2020-00142,개,믹스견,흰색,암컷,아니오,[관리번호 141] 성격이 사나움,2020-05-03
종료(안락사),충북-옥천-2020-00141,개,믹스견,갈색/검정색,암컷,아니오,[관리번호 140]사람 경계가 심함,2020-05-03
종료(안락사),충북-옥천-2020-00140,개,푸들,갈색,수컷,아니오,[관리번호 139] 관리번호138와 함께 발견됨,2020-05-03
종료(안락사),충북-옥천-2020-00139,개,말티즈,흰색,수컷,아니오,[관리번호 138] 사람에게 잘 안김,2020-05-03
종료(반환),경기-파주-2020-00238,개,말티즈,흰색,수컷,예,온순함. 왼쪽뒷다리 뒷발허리골2번 골절,2020-05-03
종료(입양),경기-파주-2020-00237,개,푸들,갈색,수컷,아니오,박스에 먹던 사료와 함께 유기됨,2020-05-03
종료(자연사),경기-군포-2020-00140,고양이,한국 고양이,갈색,수컷,아니오,시청 인계,2020-05-03
종료(자연사),경기-시흥-2020-00256,고양이,한국 고양이,갈백,암컷,미상,나이미상. 입소시자연사.,2020-05-03
종료(입양),경기-안산-2020-00469,개,믹스견,백갈,암컷,아니오,2개월,2020-05-03
종료(입양),경기-안산-2020-00468,개,믹스견,갈흑,암컷,아니오,2개월,2020-05-03
종료(안락사),경기-안산-2020-00467,개,믹스견,갈흑,암컷,아니오,2개월,2020-05-03
종료(입양),경기-안산-2020-00466,개,믹스견,갈흑,수컷,아니오,2개월,2020-05-03
종료(안락사),경기-안산-2020-00465,개,믹스견,갈백,수컷,예,하늘색몸줄,2020-05-03
종료(자연사),경기-안산-2020-00459,고양이,한국 고양이,노란줄무늬,암컷,아니오,박스에 유기. 많이 마름. 안질환 심함. 젖먹이,2020-05-03
종료(안락사),경기-안산-2020-00464,개,믹스견,갈백,암컷,미상,분홍몸줄,2020-05-03
종료(자연사),경기-안산-2020-00458,고양이,한국 고양이,턱시도,암컷,아니오,박스에 유기. 많이 마름. 안질환 심함. 한달반 추정,2020-05-03
종료(반환),경기-안산-2020-00463,개,보스턴 테리어,흑백,수컷,아니오,칩있음,2020-05-03
종료(기증),경기-안산-2020-00461,개,시츄,백갈흑,수컷,아니오,부정교합,2020-05-03
종료(반환),경기-안산-2020-00460,개,진도견,백,암컷,미상,"분홍색하네스,주인연락됨",2020-05-03
종료(자연사),경기-광명-2020-00091,고양이,한국 고양이,갈백,미상,아니오,"3개월,입소시 자연사",2020-05-03
종료(자연사),경기-부천-2020-00305,고양이,한국 고양이,"흰,갈",미상,아니오,"발작,경련심함,비강출혈,예후극히불량,기립불가",2020-05-03
종료(입양),경기-부천-2020-00304,고양이,한국 고양이,갈검흰,암컷,예,"순함,애교많음,다리염증있었으나 신고자분이 치료해주심",2020-05-03
종료(자연사),경기-부천-2020-00303,고양이,한국 고양이,"흰,검",암컷,아니오,"임신한상태,호흡기질환,기력없음,예후불량",2020-05-03
종료(자연사),경기-부천-2020-00302,고양이,한국 고양이,흰검,미상,아니오,"왼쪽뒷다리골절,하반신마비,50일전후추정됨",2020-05-03
종료(입양),경기-부천-2020-00301,개,말티즈,흰,암컷,미상,"순함,털엉킴심함,유치잔존,유기된지오래되어보임",2020-05-03
종료(입양),경기-부천-2020-00300,고양이,한국 고양이,흰갈검,미상,미상,"예후불량,10일정도추정",2020-05-03
종료(자연사),경기-안양-2020-00105,고양이,한국 고양이,백갈,수컷,아니오,갓태어남. 탯줄 안끊김.,2020-05-03
종료(안락사),경기-안양-2020-00104,개,믹스견,백갈,수컷,아니오,등에 갈색털 섞임.,2020-05-03
종료(기증),경기-안양-2020-00103,개,푸들,갈,암컷,미상,전체미용. 스케일링 흔적.,2020-05-03
종료(입양),경기-성남-2020-00268,기타축종,토끼,흑백색,수컷,아니오,중성화 안되어 있음.,2020-05-03
종료(입양),경기-성남-2020-00267,개,코카 스파니엘,흑백색,수컷,아니오,"매우 마름, 중성화 안되어 있음.",2020-05-03
종료(입양),경기-성남-2020-00266,개,프렌치 불독,흑갈색,암컷,미상,젖 불어 있음.,2020-05-03
종료(자연사),광주-북구-2020-00282,고양이,한국 고양이,검,암컷,아니오,20-7149,2020-05-03
종료(자연사),광주-북구-2020-00281,고양이,한국 고양이,치즈,수컷,아니오,20-7148,2020-05-03
종료(입양),광주-서구-2020-00151,개,믹스견,갈,암컷,아니오,20-0594 리블/ 순함,2020-05-03
종료(자연사),대구-서구-2020-00156,고양이,한국 고양이,흰색&검은색,수컷,아니오,탯줄달린 상태로 발견,2020-05-03
종료(자연사),대구-서구-2020-00155,고양이,한국 고양이,흰색&검은색,수컷,아니오,탯줄달린 상태로 발견,2020-05-03
종료(자연사),서울-관악-2020-00214,고양이,한국 고양이,갈검흰색,암컷,예,"교통사고의심,전신출혈,상태불량.",2020-05-03
종료(입양),서울-관악-2020-00213,고양이,한국 고양이,갈검흰색,암컷,아니오,"결막염,탈진,순함,설사.이유식급여",2020-05-03
종료(자연사),부산-강서-2020-00230,고양이,한국 고양이,삼색냥,암컷,아니오,영양상태불량,2020-05-02
종료(자연사),부산-강서-2020-00229,고양이,한국 고양이,젖소2,미상,아니오,"젖먹이2두, 인공포유중",2020-05-02
종료(입양),경남-밀양-2020-00665,개,믹스견,파티,암컷,미상,온순한 아이,2020-05-02
보호중,강원-원주-2020-00336,개,진도견,갈색,수컷,아니오,빨간목줄,2020-05-02
종료(입양),강원-원주-2020-00335,개,진도견,갈색,암컷,아니오,목줄착용,2020-05-02
종료(입양),부산-동래-2020-00108,고양이,,갈색,수컷,아니오,"기력저하, 안질환, 영양상태불량, 갈색",2020-05-02
종료(입양),경남-거제-2020-00433,개,믹스견,검정,암컷,아니오,8마리,2020-05-02
종료(입양),경남-거제-2020-00432,개,믹스견,검정,수컷,아니오,8마리,2020-05-02
종료(입양),경남-거제-2020-00427,개,믹스견,흰색,암컷,아니오,2마리 같이 입소,2020-05-02
종료(입양),경남-거제-2020-00426,개,믹스견,연갈색,암컷,아니오,2마리 같이 입소,2020-05-02
종료(입양),경남-거제-2020-00425,고양이,기타,"검정,갈색",암컷,아니오,약간 경계,2020-05-02
종료(안락사),전남-함평-2020-00111,개,믹스견,흰색,암컷,아니오,"믹스견, 흰색, 암, 2세, 9kg 추정",2020-05-02
종료(안락사),전남-함평-2020-00110,개,믹스견,흰색,수컷,아니오,"믹스견, 흰색, 수, 2세, 10kg 추정",2020-05-02
종료(자연사),전남-영암-2020-00174,개,믹스견,갈색,암컷,아니오,"모견과 함께 유기된 것으로 추정, 두 아이 몸에 피부질환이 심함",2020-05-02
종료(안락사),전남-영암-2020-00173,개,믹스견,갈색&흰색,암컷,아니오,목걸이가 작은 것을 바꿔주지 않아서 혈액순환 장애.,2020-05-02
종료(반환),대전-서구-2020-00182,개,푸들,갈색,수컷,미상,,2020-05-02
종료(입양),대전-서구-2020-00181,고양이,한국 고양이,삼색,암컷,미상,,2020-05-02
종료(반환),대전-중구-2020-00171,개,믹스견,검,수컷,아니오,",",2020-05-02
종료(입양),대전-중구-2020-00170,고양이,코숏,검백,미상,아니오,20-167-168 동시구조,2020-05-02
종료(입양),대전-중구-2020-00169,고양이,코숏,검백,미상,아니오,20-167-168 동시구조,2020-05-02
종료(자연사),대전-중구-2020-00168,고양이,코숏,황,미상,아니오,"선비동물병원 진료 ,교통사고",2020-05-02
종료(입양),인천-부평-2020-00248,고양이,한국 고양이,검정흰색,미상,아니오,허피스감염 기아상태 너무 심함,2020-05-02
종료(입양),인천-부평-2020-00247,고양이,한국 고양이,검정흰색,미상,아니오,허피스감염 기아상태 너무 심함,2020-05-02
종료(자연사),서울-도봉-2020-00071,고양이,한국 고양이,검/흰,암컷,미상,눈곱.콧물.양뒷다리못쓰는듯.골반골절.혈뇨.저체온.엉덩이주위피부손상.하악질.,2020-05-02
종료(입양),서울-도봉-2020-00070,개,믹스견,갈,수컷,아니오,양귀처짐. 코검정. 짖음. 얌전함. 사람따름.,2020-05-02
종료(반환),대전-서구-2020-00182,개,푸들,갈색,수컷,미상,,2020-05-02
종료(입양),대전-서구-2020-00181,고양이,한국 고양이,삼색,암컷,미상,,2020-05-02
종료(반환),대전-중구-2020-00171,개,믹스견,검,수컷,아니오,",",2020-05-02
종료(입양),대전-중구-2020-00170,고양이,코숏,검백,미상,아니오,20-167-168 동시구조,2020-05-02
종료(입양),대전-중구-2020-00169,고양이,코숏,검백,미상,아니오,20-167-168 동시구조,2020-05-02
종료(자연사),대전-중구-2020-00168,고양이,코숏,황,미상,아니오,"선비동물병원 진료 ,교통사고",2020-05-02
종료(입양),인천-부평-2020-00248,고양이,한국 고양이,검정흰색,미상,아니오,허피스감염 기아상태 너무 심함,2020-05-02
종료(입양),인천-부평-2020-00247,고양이,한국 고양이,검정흰색,미상,아니오,허피스감염 기아상태 너무 심함,2020-05-02
종료(자연사),서울-도봉-2020-00071,고양이,한국 고양이,검/흰,암컷,미상,눈곱.콧물.양뒷다리못쓰는듯.골반골절.혈뇨.저체온.엉덩이주위피부손상.하악질.,2020-05-02
종료(입양),서울-도봉-2020-00070,개,믹스견,갈,수컷,아니오,양귀처짐. 코검정. 짖음. 얌전함. 사람따름.,2020-05-02
종료(안락사),세종-세종-2020-00109,개,말티즈,흰색,수컷,아니오,"분홍색 옷, 최근 미용. 입마게",2020-05-02
종료(반환),경남-창원1-2020-00286,개,푸들,갈색,암컷,미상,J-5-1-2 갈색. 옷착용. 기저귀착용. 미용되어있음.,2020-05-02
종료(입양),경남-거창-2020-00151,개,믹스견,흰색,수컷,미상,말티즈 믹스,2020-05-02
종료(입양),경남-거창-2020-00150,개,믹스견,흰색,수컷,미상,흰색,2020-05-02
종료(입양),경남-거창-2020-00149,개,시츄,"흰색, 갈색",수컷,미상,4세 가량,2020-05-02
종료(안락사),경남-거창-2020-00148,개,믹스견,갈색,암컷,미상,3세 가량,2020-05-02
종료(자연사),경남-김해-2020-00611,고양이,한국 고양이,갈흰,암컷,미상,"596, 뒷다리부상, 교통사고추정",2020-05-02
종료(안락사),전남-곡성-2020-00060,개,믹스견,연한 갈색,수컷,아니오,상태양호,2020-05-02
종료(반환),전남-목포-2020-00341,개,시츄,흰황색,수컷,미상,"손길거부,관리됨,칩달림",2020-05-02
종료(자연사),전북-순창-2020-00056,고양이,한국 고양이,흰색,암컷,미상,온순함,2020-05-02
종료(자연사),전북-익산-2020-00507,개,믹스견,흰갈색,암컷,아니오,생후10일정도 아주작음,2020-05-02
종료(입양),전북-익산-2020-00506,개,믹스견,검갈색,암컷,아니오,생후10일정도 아주작음,2020-05-02
종료(입양),전북-익산-2020-00505,개,믹스견,흰색,암컷,아니오,생후10일정도,2020-05-02
종료(입양),전북-익산-2020-00504,개,믹스견,흰갈색,암컷,아니오,생후10일정도 아주작음,2020-05-02
종료(입양),전북-익산-2020-00503,개,믹스견,흰색,암컷,아니오,생후10일정도 아주작고이쁨,2020-05-02
종료(입양),전북-익산-2020-00502,개,믹스견,흰갈색,암컷,아니오,발발이믹스개이며 사나운편임,2020-05-02
종료(입양),전북-군산-2020-00632,개,믹스견,베이지,암컷,아니오,포획틀 구조,2020-05-02
종료(입양),충남-천안-2020-00329,개,포메라니안,수향리 복지아파트 앞 논길,암컷,미상,20-00483 아이와 같이구조.소심함.털이약간베이지섞임,2020-05-02
종료(입양),충남-천안-2020-00328,개,포메라니안,흰색,암컷,미상,베이지색줄무늬옷입고잇음.똑같은아이와 같이구조됨.순하고 겁이많음,2020-05-02
종료(안락사),충북-단양-2020-00064,개,믹스견,갈색과 검은색,미상,아니오,새끼들끼리 모여있는것을 구조,2020-05-02
종료(안락사),충북-단양-2020-00063,개,믹스견,검은색,미상,아니오,새끼들끼리 모여있는것을 구조,2020-05-02
종료(안락사),충북-단양-2020-00062,개,믹스견,갈색,미상,아니오,새끼들끼리 모여있는것을 구조,2020-05-02
종료(안락사),충북-단양-2020-00061,개,믹스견,흰색,미상,아니오,새끼들끼리 모여있는것을 구조,2020-05-02
종료(안락사),충북-단양-2020-00060,개,믹스견,갈색,미상,아니오,새끼들끼리 모여있는것을 구조,2020-05-02
종료(입양),충북-단양-2020-00059,개,믹스견,갈색,미상,아니오,길거리 돌아다니는 것을 포획,2020-05-02
종료(입양),충북-단양-2020-00058,개,믹스견,갈색,미상,아니오,길거리 돌아다니는 것을 포획,2020-05-02
종료(입양),충북-제천-2020-00132,고양이,한국 고양이,검정 흰색,암컷,아니오,"2개월 추정, 임시보호하며 입양예정자 있음",2020-05-02
종료(안락사),충북-제천-2020-00131,개,믹스견,갈색,암컷,아니오,"온순하고 129번,130번의 어미",2020-05-02
종료(안락사),충북-제천-2020-00130,개,믹스견,흰색,수컷,아니오,3개월 추정 예민함,2020-05-02
종료(입양),강원-춘천-2020-00209,개,말티즈,흰색,수컷,미상,"흰색, 온순, 칩있음.",2020-05-02
종료(안락사),경기-포천-2020-00348,개,믹스견,검/흰,암컷,미상,양귀쫑긋.코검정색.양눈뿌옇게돼있음.진드기.피부질환.,2020-05-02
종료(안락사),경기-포천-2020-00347,개,믹스견,흰,수컷,아니오,얼굴에주름많음.샤페이혼종인듯.소심함.사람따름.,2020-05-02
종료(입양),경기-포천-2020-00346,개,믹스견,흰,수컷,아니오,코검정색.얼굴에주름많음.샤페이혼종인듯.낑낑댐.사람따름.,2020-05-02
종료(자연사),경기-포천-2020-00345,개,믹스견,갈,수컷,아니오,양귀접힘.얼굴이주름많음.샤페이혼종인듯.양뒷다리며느리발톱.진드기붙음.,2020-05-02
종료(반환),경기-포천-2020-00344,개,요크셔 테리어,검/갈,암컷,미상,코검정색.눈혼탁함.비틀댐.치석심함.얌전함.갑자기손대면놀람.,2020-05-02
종료(입양),경기-김포-2020-00266,개,믹스견,갈/흰,수컷,아니오,양귀처짐. 눈곱. 눈물자국. 코분홍+검정. 부정교합. 겁많음/소심함.,2020-05-02
종료(안락사),경기-김포-2020-00265,개,믹스견,흰,수컷,아니오,왼귀쫑긋/오른귀 반접힘. 눈곱. 코검정. 얌전함. 사람좋아함.,2020-05-02
종료(반환),경기-고양-2020-00418,개,라브라도 리트리버,"흰색,옅은황색",수컷,아니오,사나움,2020-05-02
종료(기증),경기-의정부-2020-00154,개,말티즈,흰,암컷,미상,눈곱. 눈물자국. 코검정. 양귀/꼬리털 더긺. 얌전함. 사람따름. 양슬개골 심함.,2020-05-02
종료(입양),울산-울주-2020-00352,고양이,페르시안-페르시안 친칠라,흰색/회색,미상,미상,약간 경계심/꼬리옆 엉덩이 상처/누런콧물있음/몸통 미용되어 있음,2020-05-02
종료(자연사),울산-울주-2020-00350,고양이,한국 고양이,노랑.흰색,수컷,예,구더기감염/하부요로기증후군,2020-05-02
종료(자연사),울산-중구-2020-00114,고양이,한국 고양이,노랑.흰색,미상,미상,교통사고/뒷다리다침,2020-05-02
종료(입양),대전-대덕-2020-00137,고양이,한국 고양이,삼색,암컷,아니오,40일령 추정,2020-05-02
종료(반환),대전-대덕-2020-00136,개,웰시 코기 펨브로크,백황색,수컷,미상,,2020-05-02
종료(반환),대전-대덕-2020-00135,개,말티즈,백색,수컷,미상,,2020-05-02
종료(반환),대전-동구-2020-00211,개,믹스견,백색,수컷,미상,,2020-05-02
종료(입양),인천-서구-2020-00281,개,스피츠,흰색,수컷,아니오,"순함,귀여움,목줄한 흔적",2020-05-02
종료(입양),인천-계양-2020-00253,개,믹스견,검정/백색,수컷,아니오,회색/주황색옷착용,2020-05-02
종료(방사),인천-부평-2020-00243,고양이,한국 고양이,검정,암컷,아니오,분만후 한달정도 보임,2020-05-02
종료(반환),인천-부평-2020-00242,개,말티즈,흰색,암컷,아니오,옷을 입고 있었음,2020-05-02
종료(입양),인천-미추홀-2020-00203,개,포메라니안,흰,수컷,미상,눈주의갈변/온순하고활발함,2020-05-02
종료(안락사),대구-달성-2020-00244,개,믹스견,흰색,수컷,아니오,빨간색 목줄착용,2020-05-02
종료(자연사),대구-달성-2020-00243,고양이,한국 고양이,치즈태비,수컷,아니오,"1주령 추정, 인공포유 필요함.",2020-05-02
종료(입양),대구-달성-2020-00241,개,비글,화원파출소인근,수컷,아니오,등록칩 없음. 붉은 목줄 착용,2020-05-02
종료(반환),대구-달서-2020-00131,개,푸들,연갈색,수컷,예,.,2020-05-02
종료(자연사),대구-동구-2020-00146,개,믹스견,흰색,암컷,아니오,사고추정 의식없음,2020-05-02
종료(입양),부산-해운대-2020-00176,고양이,혼합,갈색+흰색,암컷,아니오,"기력매우저하, 영양상태불량",2020-05-02
종료(반환),부산-해운대-2020-00175,개,말티즈,흰색,암컷,미상,흰색,2020-05-02
종료(반환),부산-해운대-2020-00174,개,믹스견,흰색,암컷,미상,빨간색목줄착용,2020-05-02
종료(자연사),부산-북구-2020-00143,고양이,한국 고양이,치즈1고등어1,미상,아니오,안질환.영양상태불량,2020-05-02
종료(자연사),부산-북구-2020-00142,고양이,한국 고양이,치즈냥이,미상,아니오,젖먹이2두.인공포유중,2020-05-02
종료(입양),부산-북구-2020-00141,고양이,한국 고양이,젖소냥이,미상,아니오,젖먹이1두.인공포유중,2020-05-02
